simulation,annual_revenue_gbp,npv_gbp
96,1511966.1349211964,-25617836.779201984
97,1445967.599490904,-26182749.836651925
98,1464108.4589606328,-26027473.536640115
99,1527203.537615608,-25487412.555579815
100,1453512.728721128,-26118167.46380817
101,1559953.9350301514,-25207086.226888914
102,1393275.2736177056,-26633768.67698084
103,1448009.810564767,-26165269.574488945
104,1479835.2230306359,-25892860.634752877
105,1466131.377557901,-26010158.408019386
106,1460331.0945391783,-26059805.806902084
107,1454005.7001823918,-26113947.88509173
108,1466588.338628289,-26006247.05947619
109,1401559.4552902242,-26562860.400508005
110,1517750.7168818796,-25568323.773190953
111,1501005.8233057652,-25711651.3328873
112,1559165.9511967641,-25213830.95771722
113,1534396.1431527922,-25425847.601773627
114,1500748.3556394572,-25713855.121889893
115,1402501.3748450445,-26554798.06015278
116,1396606.3131523808,-26605256.715075146
117,1520664.5324350048,-25543383.03106343
118,1483452.4193251294,-25861899.320160113
119,1535366.7501932818,-25417539.711496204
120,1413510.908499719,-26460562.191471584
121,1461353.5473357353,-26051054.143980544
122,1523927.503250768,-25515453.701906577
123,1396599.845135444,-26605312.077928267
124,1480965.7927832175,-25883183.54705044
125,1515675.7765416054,-25586084.180812247
126,1449905.1398148416,-26149046.54416633
127,1504965.2767689053,-25677760.475353714
128,1474062.8125147014,-25942269.45954198
129,1457354.7875135932,-26085281.443456307
130,1537998.850555084,-25395010.304544874
131,1447814.9078110359,-26166937.840455726
132,1561816.87102787,-25191140.46591947
133,1452119.0843137181,-26130096.333411943
134,1458432.4495318998,-26076057.218377825
135,1405776.3766918185,-26526765.7516424
136,1413455.7185432566,-26461034.588727713
137,1501308.2745537665,-25709062.507875897
138,1431230.2739606637,-26308893.66044505
139,1419621.9443242257,-26408254.910570566
140,1516086.3026814526,-25582570.29106739
141,1485643.522514733,-25843144.619105652
142,1551547.7808626452,-25279038.524333104
143,1446171.2653204137,-26181006.56332478
144,1514550.6095952182,-25595715.023310207
145,1498941.595633678,-25729320.04565356
146,1423463.4724700095,-26375373.43227766
147,1586099.1679512148,-24983296.6629102
148,1635717.5874061084,-24558588.85905745
149,1468007.7285702552,-25994097.82151807
150,1466877.3007069733,-26003773.69472207
151,1553700.1213693675,-25260615.611636654
152,1582349.8204977964,-25015389.122531366
153,1404396.6138368808,-26538575.80239363
154,1422147.6775263327,-26386635.951055743
155,1418166.354489146,-26420714.00074229
156,1533819.0917203599,-25430786.861211367
157,1559197.1998773746,-25213563.48530151
158,1488792.8053092037,-25816188.40014413
159,1547625.351727533,-25312612.47292
160,1432922.125044328,-26294412.297151282
161,1409452.2543454522,-26495302.155206695
162,1393158.1883079768,-26634770.86619413
163,1409373.6124756136,-26495975.28861556
164,1458237.4180416008,-26077726.586262513
165,1424318.2705693902,-26368056.80616353
166,1551685.6791550291,-25277858.186838344
167,1504529.6189503218,-25681489.479167107
168,1589165.1357989102,-24957053.57645998
169,1441359.7414254805,-26222190.69955991
170,1529065.5079169353,-25471475.060468055
171,1467422.7351611415,-25999105.060135957
172,1509232.7659424583,-25641232.992721733
173,1459602.9075629553,-26066038.70780589
174,1476472.6343714548,-25921642.6407174
175,1579637.2187659398,-25038607.579244025
176,1481388.4052320826,-25879566.204801127
177,1459599.7091707424,-26066066.084375873
178,1366844.1496816925,-26860005.31900908
179,1421351.3917937938,-26393451.741812907
180,1520614.8840166465,-25543807.995642256
181,1450205.4179325781,-26146476.320017114
182,1499444.256966775,-25725017.52668567
183,1540392.7999948235,-25374519.34533545
184,1517288.5584127642,-25572279.60875779
185,1470018.659300455,-25976885.30279003
186,1498316.0345615519,-25734674.522318415
187,1482442.755211434,-25870541.51862325
188,1503353.54259299,-25691556.079683065
189,1443522.020677505,-26203682.716384858
190,1613874.010394738,-24745558.49095435
191,1463599.8076735311,-26031827.326491646
192,1553089.3519179574,-25265843.479739238
193,1537085.6851503523,-25402826.524365228
194,1548355.6759172517,-25306361.278582826
195,1440547.4878365414,-26229143.166843623
196,1460729.7382299812,-26056393.624726582
197,1459510.9371975362,-26066825.926188618
198,1457121.5336216898,-26087277.97517293
199,1542628.153131931,-25355385.88779839
200,1527940.7599135363,-25481102.317032434
201,1357166.4749068643,-26942841.169992905
202,1399765.9413168486,-26578211.94513961
203,1401584.230727141,-26562648.33568373
204,1520802.1397094768,-25542205.18453028
205,1505374.3469851275,-25674259.047556095
206,1545553.520783019,-25330346.265734553
207,1458738.5057874687,-26073437.536380973
208,1429156.0274056946,-26326648.129625812
209,1454286.4333254022,-26111544.955737136
210,1501617.0588677796,-25706419.475120932
211,1499107.8178308327,-25727897.27029955
212,1550436.5175114598,-25288550.35930425
213,1531848.5889637847,-25447653.337560773
214,1458476.1196364746,-26075683.425048415
215,1526235.570472671,-25495697.849710397
216,1560603.2927252795,-25201528.06353662
217,1424812.0785800763,-26363830.067020133
218,1501076.3587608926,-25711047.586162392
219,1378300.3712370088,-26761946.03476219
220,1592928.2785028764,-24924843.036685757
221,1580328.572790141,-25032689.949208062
222,1477113.9285661126,-25916153.496725537
223,1516637.1337316148,-25577855.464432877
224,1493307.9169450519,-25777541.398323476
225,1451121.0832903585,-26138638.70190192
226,1444480.5299092236,-26195478.377043784
227,1495477.3372548874,-25758972.291416287
228,1574462.5676040498,-25082899.895581674
229,1441700.9984207938,-26219269.717581417
230,1509366.5626230536,-25640087.76288566
231,1510311.3023864992,-25632001.28301481
232,1440525.6555646216,-26229330.03970983
233,1480147.9252847258,-25890184.066473328
234,1499157.3309293455,-25727473.46398806
235,1448832.0236466732,-26158231.85913744
236,1493698.6101456454,-25774197.26819948
237,1544923.0561993942,-25335742.713901583
238,1558196.6794486062,-25222127.41858839
239,1545474.9382229596,-25331018.891482625
240,1466441.9990394171,-26007499.650068335
241,1491326.883072282,-25794498.01553751
242,1486465.390563841,-25836109.857055027
243,1509280.9779147722,-25640820.323372208
244,1461157.6894783827,-26052730.585136417
245,1507560.1279674293,-25655549.901821606
246,1502049.0807398418,-25702721.5931143
247,1539673.6568756818,-25380674.835537314
248,1389104.0717251336,-26669471.990683347
249,1353800.4312585457,-26971652.74886332
250,1459865.9581867119,-26063787.131598
251,1432215.4110663948,-26300461.40038386
252,1454789.656058743,-26107237.63147583
253,1571556.3071498985,-25107775.970000546
254,1472455.5632930894,-25956026.675000556
255,1493682.9886041272,-25774330.980451178
256,1486306.7077908705,-25837468.098868407
257,1475867.0742019233,-25926825.920082763
258,1584254.3511120048,-24999087.333328545
259,1485025.9057100187,-25848431.09698291
260,1472070.4488607736,-25959323.053776372
261,1406829.6755650092,-26517750.062385306
262,1402732.604716372,-26552818.85299714
263,1557459.5177743128,-25228437.138229057
264,1466786.147556562,-26004553.918170355
265,1519168.0563284631,-25556192.086404365
266,1596836.1618820643,-24891393.592186697
267,1529723.8942795452,-25465839.616428874
268,1536822.8032880074,-25405076.65606341
269,1472747.8407220393,-25953524.932576496
270,1574438.1960996555,-25083108.502954133
271,1376803.216950946,-26774760.894966282
272,1547723.6222773702,-25311771.328243017
273,1442631.3652135755,-26211306.26284665
274,1484504.6910539784,-25852892.422723122
275,1460276.3621728413,-26060274.287425287
276,1540760.7187961594,-25371370.15219653
277,1465996.2831788547,-26011314.74547769
278,1418940.7758349685,-26414085.357737247
279,1448135.604101669,-26164192.847390756
280,1484643.4590138914,-25851704.64132768
281,1462693.1184495084,-26039588.11358124
282,1365178.530677887,-26874262.149374362
283,1488375.4365978122,-25819760.85873429
284,1441166.2212267015,-26223847.131577037
285,1516630.2949659454,-25577914.000701874
286,1574657.4999429358,-25081231.376381394
287,1572636.528954175,-25098529.834488608
288,1433076.0833149492,-26293094.494615067
289,1443349.566441433,-26205158.834743157
