label,json_file,FieldName,cycle,time_days,RF
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,14,1165.336908507067,0.8694032403394713
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,15,1237.852028117484,0.8687185953583526
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,1,389.1584535712147,0.9693264736406025
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,2,507.15845357121987,0.9439219297734419
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,3,625.1919762984976,0.9258107619385951
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,4,743.2254990257754,0.9129664112266072
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,5,861.2590217530396,0.9035702637575687
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,6,978.8790975106019,0.8958900748200269
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,7,1096.8567490257399,0.8906458031239566
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,8,1214.8344005408778,0.8864744666053141
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,9,1332.9908399348037,0.8833478550316937
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,10,1450.9684914499417,0.8805604734840586
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,11,1568.9461429650796,0.8782651139903109
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,12,1686.9237944802173,0.8763528701925912
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,13,1804.901445995355,0.874745520493966
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,14,1922.8790975104928,0.8733844643642588
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,15,2040.320385389267,0.8721878512182012
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,1,167.54713270399304,0.9629568849815169
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,2,222.48072645399304,0.939181081553078
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,3,277.52711317274304,0.9208401376272827
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,4,332.5391574435764,0.908764029482697
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,5,387.55120171440973,0.9002768390896935
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,6,442.56324598524304,0.8940978976475698
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,7,497.5752902560764,0.8894633328153914
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,8,552.6602511935764,0.8861302800073737
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,9,607.6722954644097,0.8832987720899749
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,10,662.684339735243,0.8810524581463389
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,11,717.6963840060764,0.8792442988006395
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,12,772.7084282769097,0.8777731546473697
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,13,827.720472547743,0.8765662473737854
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,14,882.4825168185764,0.8760418336034189
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,15,937.2445610894097,0.8751228540131126
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,1,107.60805362654403,0.8834352675137994
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,2,149.55734339927002,0.8475623546848382
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,3,191.57026953563238,0.8295388730202807
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,4,233.6885933992719,0.818613370651086
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,5,275.6160081720026,0.8131368846215685
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,6,317.54342294473327,0.8095072942036677
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,7,359.708728342464,0.8059776566075386
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,8,401.69182493337644,0.8042377052986496
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,9,443.67492152428895,0.8030089744783955
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,10,485.6493178311105,0.8021761348758368
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,11,527.632414422023,0.8015819452374666
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,12,569.5598291947537,0.8013322445263364
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,13,611.6781530583935,0.8007501674599944
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,14,653.6055678311242,0.8007766629091891
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,15,695.4447368652184,0.8004274809356275
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,1,272.3644620165431,0.8954538586089956
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,2,380.1778142892737,0.8593919484688676
