cycle,count,RF_mean,RF_min,RF_max,RF_std
1,11,0.9395181789604135,0.8097049949627849,0.9850461555717163,0.051377170161546935
2,11,0.913843331467981,0.7837462983885864,0.9719941995418633,0.05511631167858666
3,11,0.8981134429568477,0.7741122568317335,0.9613023771356828,0.05497226937637768
4,11,0.8881072924078993,0.7687274078205916,0.9549933676357664,0.054389229005044094
5,11,0.8815370770296148,0.7661460316482139,0.9490744334571455,0.05339506316219374
6,11,0.8768700792263129,0.7652099925043693,0.9461129897650619,0.052630300612894636
7,11,0.8735447779668176,0.7657939535661319,0.942816098917453,0.05173246315677278
8,11,0.8711703704619899,0.7656359200806451,0.9413010447854756,0.0512220066078149
9,11,0.8692730797298218,0.7658375813163537,0.939326773064833,0.05065523211125051
10,11,0.8678673742783486,0.7662537847428178,0.9385709617138397,0.0503086733449587
11,11,0.8669485154911438,0.7673151554980128,0.9379948883093411,0.04987408331887496
12,11,0.8661476022991181,0.7678792030235063,0.9369629065671902,0.049473709841517895
13,11,0.8655599867051774,0.7685200347456548,0.9369271825434914,0.04927520783584249
14,11,0.8650945010073913,0.7692758066044845,0.9362776598761512,0.04892758545587037
15,11,0.864621151276785,0.7697220755165378,0.9360251713292719,0.0487320250489677
